data_name,data_type,data_vlevel,data_popularity,data_difficulty,data_pitches,data_rating,data_location
Climb 1,Rock,1,Highly Popular,3.506,1,9.597135407,Alabama
Climb 2,Rock,1,Highly Popular,7.231,3,6.559490052,Colorado
Climb 3,Rock,10,Highly Popular,0.221,2,5.359043206,Hawaii
Climb 4,Rock,4,Highly Popular,9.280,4,2.106470876,Kansas
Climb 5,Rock,7,Highly Popular,6.592,1,1.492520036,Michigan
Climb 6,Rock,0,Highly Popular,9.585,4,2.615836081,New Hampshire
Climb 7,Rock,8,Highly Popular,2.617,6,1.793890257,North Dakota
Climb 8,Rock,1,Not Popular,6.316,1,2.284510548,Rhode Island
Climb 9,Rock,7,Not Popular,7.481,1,4.208463352,Utah
Climb 10,Rock,3,Not Popular,7.541,4,0.483758898,Wisconsin
Climb 11,Rock,3,Not Popular,8.773,2,5.623200226,Alaska
Climb 12,Rock,0,Highly Popular,1.362,4,0.298077674,Connecticut
Climb 13,Rock,12,Highly Popular,2.474,2,5.531957823,Idaho
Climb 14,Rock,4,Highly Popular,0.716,5,5.203802589,Kentucky
Climb 15,Rock,10,Highly Popular,0.913,2,8.217072689,Minnesota
Climb 16,Rock,8,Highly Popular,8.510,3,1.37778153,New Jersey
Climb 17,Rock,0,Highly Popular,5.305,4,9.299017179,Ohio
Climb 18,Rock,3,Highly Popular,9.251,1,3.287720312,South Carolina
Climb 19,Rock,7,Highly Popular,0.146,1,6.860112972,Vermont
Climb 20,Rock,3,Highly Popular,4.768,5,0.104594076,Wyoming
Climb 21,Rock,2,Highly Popular,3.147,1,5.005498852,Arizona
Climb 22,Rock,5,Highly Popular,2.596,3,2.81096501,Delware
Climb 23,Rock,3,Highly Popular,3.456,5,4.077040482,Illinois
Climb 24,Rock,11,Highly Popular,1.781,5,9.229998579,Maine
Climb 25,Rock,7,Highly Popular,7.447,3,0.529660465,Missouri
Climb 26,Rock,7,Highly Popular,0.571,4,3.83144952,New Mexico
Climb 27,Rock,6,Highly Popular,7.082,4,6.791294042,Oklahoma
Climb 28,Boulder,2,Highly Popular,9.418,6,8.196796078,South Dakota
Climb 29,Boulder,13,Highly Popular,9.214,3,7.679212292,Virginia
Climb 30,Boulder,5,Highly Popular,4.466,2,1.505797257,Arkansas
Climb 31,Boulder,3,Highly Popular,2.054,1,1.767842441,Florida
Climb 32,Boulder,2,Highly Popular,8.522,5,5.505844512,Indiana
Climb 33,Boulder,6,Highly Popular,8.337,3,6.335882365,Maryland
Climb 34,Boulder,8,Highly Popular,4.500,4,5.450732688,Montana
Climb 35,Boulder,14,Moderately Popular,5.687,4,5.779395524,New York
Climb 36,Boulder,12,Moderately Popular,5.789,3,9.377585517,Oregon
Climb 37,Boulder,1,Moderately Popular,9.721,2,4.241169355,Tennessee
Climb 38,Boulder,10,Moderately Popular,8.828,2,1.574293091,Washington
Climb 39,Boulder,10,Moderately Popular,2.617,5,3.059811511,California
Climb 40,Boulder,6,Moderately Popular,6.224,2,4.64413213,Georgia
Climb 41,Rock,14,Moderately Popular,7.680,1,2.824981353,Iowa
Climb 42,Rock,2,Moderately Popular,1.592,4,2.543127888,Massachusetts
Climb 43,Rock,9,Moderately Popular,8.357,3,4.158485686,Nevada
Climb 44,Rock,8,Moderately Popular,2.615,4,9.734673911,North Carolina
Climb 45,Rock,1,Moderately Popular,8.794,6,8.436621572,Pennsylvania
Climb 46,Rock,6,Moderately Popular,3.249,5,4.35898738,Texas
Climb 47,Rock,8,Not Popular,7.360,4,1.558710253,West Virginia
Climb 48,Rock,3,Not Popular,7.857,6,2.31646435,California
Climb 49,Rock,1,Not Popular,1.400,1,3.803216115,California
Climb 50,Rock,13,Not Popular,1.368,3,4.346159273,North Carolina
Climb 51,Rock,12,Moderately Popular,5.475,6,4.707381525,North Carolina
Climb 52,Rock,3,Moderately Popular,6.930,1,8.132087086,Washington
Climb 53,Rock,11,Moderately Popular,8.506,6,1.64519989,Washington
Climb 54,Rock,8,Moderately Popular,5.162,2,9.748082616,Washington
Climb 55,Rock,5,Moderately Popular,1.257,2,8.186842887,California
Climb 56,Rock,7,Moderately Popular,6.707,4,2.889971156,Colorado
Climb 57,Rock,6,Moderately Popular,9.273,6,0.222593099,Washington
Climb 58,Rock,8,Moderately Popular,2.394,3,9.930632942,California
Climb 59,Rock,8,Moderately Popular,3.587,5,6.285103475,Colorado
Climb 60,Rock,1,Moderately Popular,4.302,5,7.916901608,Washington
Climb 61,Rock,11,Moderately Popular,9.201,5,2.272930202,California
Climb 62,Rock,5,Moderately Popular,6.503,1,3.222627006,Colorado
Climb 63,Rock,5,Moderately Popular,5.599,4,3.543132274,Washington
Climb 64,Rock,5,Moderately Popular,0.299,2,0.749695774,California
Climb 65,Rock,10,Moderately Popular,6.346,6,5.697401423,Colorado
Climb 66,Rock,9,Moderately Popular,9.471,6,5.950778719,Washington
Climb 67,Rock,7,Moderately Popular,1.703,4,7.493575136,California
Climb 68,Rock,1,Moderately Popular,8.115,2,9.511462928,Colorado
Climb 69,Rock,12,Moderately Popular,9.733,4,8.237243504,Washington
Climb 70,Rock,1,Moderately Popular,7.707,2,8.971745063,California
Climb 71,Rock,4,Moderately Popular,2.815,5,9.92608142,Colorado
Climb 72,Rock,13,Moderately Popular,1.380,1,7.739892618,Washington
Climb 73,Rock,5,Moderately Popular,3.830,2,9.147601899,California
Climb 74,Rock,1,Moderately Popular,3.775,3,7.600879265,Colorado
Climb 75,Rock,5,Moderately Popular,6.332,2,7.83310342,Washington
Climb 76,Rock,9,Moderately Popular,4.941,4,5.679718442,California
Climb 77,Rock,4,Moderately Popular,6.811,4,7.510716592,Colorado
Climb 78,Rock,7,Moderately Popular,8.527,3,2.452910754,Washington
Climb 79,Rock,14,Moderately Popular,1.047,5,0.972357063,California
Climb 80,Rock,7,Moderately Popular,9.781,1,8.996427247,Colorado
Climb 81,Rock,7,Moderately Popular,8.118,6,9.980825047,Washington
Climb 82,Rock,13,Moderately Popular,4.598,1,4.447475422,California
Climb 83,Rock,14,Moderately Popular,9.303,2,7.846541289,Colorado
Climb 84,Rock,5,Not Popular,3.074,1,0.790631148,Washington
Climb 85,Rock,3,Not Popular,7.634,3,7.334991062,California
Climb 86,Rock,10,Not Popular,0.026,2,6.312185914,Colorado
Climb 87,Rock,13,Not Popular,3.926,5,9.175281071,Washington
Climb 88,Rock,5,Not Popular,2.594,3,3.583767753,California
Climb 89,Rock,11,Not Popular,4.118,5,2.635660433,Colorado
Climb 90,Rock,10,Not Popular,8.044,4,4.443535336,Washington
Climb 91,Rock,4,Not Popular,8.562,4,0.863680189,California
Climb 92,Rock,2,Not Popular,8.726,5,1.81524131,Colorado
Climb 93,Rock,1,Not Popular,5.345,6,0.112591768,Washington
Climb 94,Rock,7,Highly Popular,8.795,2,6.504883192,California
Climb 95,Rock,12,Highly Popular,2.679,6,6.800847671,Colorado
Climb 96,Rock,9,Highly Popular,6.216,5,4.631701583,Washington
Climb 97,Rock,8,Highly Popular,6.684,5,4.638253806,California
Climb 98,Rock,2,Highly Popular,2.160,2,7.502545126,Colorado
Climb 99,Rock,12,Highly Popular,5.577,5,9.94960333,Washington
Climb 100,Rock,7,Highly Popular,3.192,3,1.267710289,California
Climb 101,Rock,8,Highly Popular,7.090,5,5.572670534,Colorado
Climb 102,Rock,9,Not Popular,2.527,2,0.675943184,Washington
Climb 103,Rock,12,Highly Popular,6.813,4,6.316413038,California
Climb 104,Rock,4,Highly Popular,3.067,4,0.010350674,Colorado
Climb 105,Rock,5,Highly Popular,7.613,4,6.836983144,Washington
Climb 106,Rock,1,Highly Popular,9.583,6,7.305125081,California
Climb 107,Rock,12,Highly Popular,0.639,3,0.606598686,Colorado
Climb 108,Rock,14,Highly Popular,5.692,4,5.520719673,Washington
Climb 109,Rock,13,Highly Popular,4.062,6,9.505626265,California
Climb 110,Rock,5,Highly Popular,9.697,2,1.744794404,Colorado
Climb 111,Rock,6,Not Popular,3.881,4,2.053173606,Washington
Climb 112,Rock,6,Highly Popular,4.610,1,6.713966211,California
Climb 113,Rock,7,Highly Popular,6.248,6,8.609944488,Colorado
Climb 114,Rock,1,Highly Popular,3.754,4,9.661134868,Washington
Climb 115,Rock,1,Highly Popular,2.816,1,0.068118897,California
Climb 116,Rock,13,Highly Popular,4.066,5,5.282972281,Colorado
Climb 117,Rock,3,Highly Popular,3.812,3,3.694568868,Washington
Climb 118,Rock,2,Highly Popular,3.764,6,6.246115356,California
Climb 119,Rock,11,Highly Popular,9.693,6,9.571947391,Colorado
Climb 120,Rock,12,Not Popular,5.786,4,4.838339123,Washington
Climb 121,Rock,6,Highly Popular,7.642,3,5.21983702,California
Climb 122,Rock,5,Highly Popular,4.254,1,5.292640803,Colorado
Climb 123,Rock,8,Highly Popular,6.366,1,4.769662203,Washington
Climb 124,Rock,14,Highly Popular,1.297,2,1.969970332,California
Climb 125,Rock,4,Highly Popular,0.475,4,3.794918711,Colorado
Climb 126,Rock,3,Highly Popular,6.933,6,4.430667987,Washington
Climb 127,Rock,9,Highly Popular,7.420,3,8.248559671,California
Climb 128,Rock,4,Highly Popular,8.694,4,5.080146119,Colorado
Climb 129,Rock,1,Not Popular,4.486,1,8.522518014,Washington
Climb 130,Rock,13,Highly Popular,6.782,4,1.776800209,California
Climb 131,Rock,13,Highly Popular,2.492,4,8.122816427,Colorado
Climb 132,Rock,1,Highly Popular,7.253,3,5.169289773,Washington
Climb 133,Rock,7,Highly Popular,7.239,6,8.874189641,California
Climb 134,Rock,8,Highly Popular,1.487,5,3.79875476,Colorado
Climb 135,Rock,1,Highly Popular,0.001,5,8.389477717,Washington
Climb 136,Rock,14,Highly Popular,8.759,4,6.316685998,California
Climb 137,Rock,11,Highly Popular,8.237,4,2.573166039,Colorado
Climb 138,Rock,6,Not Popular,4.854,3,5.287166763,Washington
Climb 139,Rock,4,Highly Popular,1.303,1,1.485978067,California
Climb 140,Rock,10,Highly Popular,1.803,6,7.802577015,Colorado
Climb 141,Rock,7,Highly Popular,4.949,6,4.822900581,Washington
Climb 142,Rock,8,Highly Popular,3.651,4,0.883567799,California
Climb 143,Rock,7,Highly Popular,4.301,4,3.089064019,Colorado
Climb 144,Rock,1,Highly Popular,7.928,2,9.72703352,Washington
Climb 145,Rock,3,Highly Popular,7.091,4,6.264611325,California
Climb 146,Rock,6,Highly Popular,8.478,4,9.293876367,Colorado
Climb 147,Rock,14,Not Popular,8.939,5,0.583165241,Washington
Climb 148,Rock,13,Highly Popular,9.869,4,5.661756551,California
Climb 149,Rock,6,Highly Popular,2.837,3,1.382478328,Colorado
Climb 150,Rock,9,Highly Popular,7.002,5,1.252016685,Washington
